,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
0,2018 - 2019,Accomack County Public Schools,5116.0,167.0,320.0,347.0,394.0,363.0,384.0,410.0,381.0,397.0,406.0,404.0,395.0,351.0,397.0
1,2018 - 2019,Albemarle County Public Schools,14013.0,302.0,1021.0,1028.0,1045.0,1004.0,1148.0,1061.0,1088.0,969.0,1031.0,1073.0,1089.0,1071.0,1083.0
2,2018 - 2019,Alexandria City Public Schools,15968.0,512.0,1516.0,1435.0,1397.0,1326.0,1255.0,1252.0,1212.0,1098.0,978.0,1160.0,1034.0,891.0,902.0
3,2018 - 2019,Alleghany County Public Schools,2084.0,84.0,178.0,135.0,128.0,130.0,159.0,134.0,146.0,156.0,172.0,164.0,165.0,143.0,190.0
4,2018 - 2019,Amelia County Public Schools,1761.0,53.0,110.0,131.0,117.0,150.0,133.0,148.0,137.0,124.0,131.0,140.0,121.0,122.0,144.0
5,2018 - 2019,Amherst County Public Schools,4086.0,121.0,325.0,284.0,276.0,304.0,295.0,338.0,334.0,323.0,321.0,288.0,307.0,299.0,263.0
6,2018 - 2019,Appomattox County Public Schools,2221.0,63.0,164.0,175.0,152.0,164.0,173.0,172.0,162.0,159.0,148.0,185.0,168.0,151.0,185.0
7,2018 - 2019,Arlington County Public Schools,27434.0,934.0,2291.0,2270.0,2146.0,2186.0,2175.0,2187.0,2124.0,1869.0,1966.0,1873.0,1797.0,1748.0,1868.0
8,2018 - 2019,Augusta County Public Schools,10407.0,330.0,703.0,750.0,701.0,718.0,750.0,762.0,847.0,802.0,822.0,840.0,838.0,775.0,769.0
9,2018 - 2019,Bath County Public Schools,543.0,31.0,45.0,36.0,43.0,36.0,39.0,38.0,38.0,35.0,38.0,41.0,43.0,35.0,45.0
10,2018 - 2019,Bedford County Public Schools,9634.0,152.0,691.0,675.0,707.0,681.0,696.0,704.0,728.0,748.0,734.0,798.0,807.0,741.0,772.0
11,2018 - 2019,Bland County Public Schools,736.0,9.0,46.0,51.0,50.0,47.0,49.0,58.0,62.0,50.0,69.0,60.0,70.0,44.0,71.0
12,2018 - 2019,Botetourt County Public Schools,4659.0,87.0,308.0,314.0,311.0,309.0,338.0,313.0,352.0,364.0,365.0,405.0,393.0,420.0,380.0
13,2018 - 2019,Bristol City Public Schools,2271.0,117.0,161.0,162.0,160.0,172.0,163.0,169.0,159.0,168.0,170.0,181.0,150.0,163.0,176.0
14,2018 - 2019,Brunswick County Public Schools,1616.0,56.0,111.0,117.0,111.0,122.0,124.0,135.0,103.0,113.0,127.0,132.0,117.0,143.0,105.0
15,2018 - 2019,Buchanan County Public Schools,2758.0,110.0,186.0,203.0,174.0,198.0,203.0,205.0,185.0,219.0,199.0,223.0,222.0,217.0,214.0
