Year,Level,Division,Grade,Count
2018 - 2019,DIV,Accomack County Public Schools,,5116
2018 - 2019,DIV,Accomack County Public Schools,PK,167
2018 - 2019,DIV,Accomack County Public Schools,KG,320
2018 - 2019,DIV,Accomack County Public Schools,1,347
2018 - 2019,DIV,Accomack County Public Schools,2,394
2018 - 2019,DIV,Accomack County Public Schools,3,363
2018 - 2019,DIV,Accomack County Public Schools,4,384
2018 - 2019,DIV,Accomack County Public Schools,5,410
2018 - 2019,DIV,Accomack County Public Schools,6,381
2018 - 2019,DIV,Accomack County Public Schools,7,397
2018 - 2019,DIV,Accomack County Public Schools,8,406
2018 - 2019,DIV,Accomack County Public Schools,9,404
2018 - 2019,DIV,Accomack County Public Schools,10,395
2018 - 2019,DIV,Accomack County Public Schools,11,351
2018 - 2019,DIV,Accomack County Public Schools,12,397
2018 - 2019,DIV,Albemarle County Public Schools,,14013
2018 - 2019,DIV,Albemarle County Public Schools,PK,302
2018 - 2019,DIV,Albemarle County Public Schools,KG,1021
2018 - 2019,DIV,Albemarle County Public Schools,1,1028
2018 - 2019,DIV,Albemarle County Public Schools,2,1045
2018 - 2019,DIV,Albemarle County Public Schools,3,1004
2018 - 2019,DIV,Albemarle County Public Schools,4,1148
2018 - 2019,DIV,Albemarle County Public Schools,5,1061
2018 - 2019,DIV,Albemarle County Public Schools,6,1088
2018 - 2019,DIV,Albemarle County Public Schools,7,969
2018 - 2019,DIV,Albemarle County Public Schools,8,1031
2018 - 2019,DIV,Albemarle County Public Schools,9,1073
2018 - 2019,DIV,Albemarle County Public Schools,10,1089
2018 - 2019,DIV,Albemarle County Public Schools,11,1071
2018 - 2019,DIV,Albemarle County Public Schools,12,1083
2018 - 2019,DIV,Alexandria City Public Schools,,15968
2018 - 2019,DIV,Alexandria City Public Schools,PK,512
2018 - 2019,DIV,Alexandria City Public Schools,KG,1516
2018 - 2019,DIV,Alexandria City Public Schools,1,1435
2018 - 2019,DIV,Alexandria City Public Schools,2,1397
2018 - 2019,DIV,Alexandria City Public Schools,3,1326
2018 - 2019,DIV,Alexandria City Public Schools,4,1255
2018 - 2019,DIV,Alexandria City Public Schools,5,1252
2018 - 2019,DIV,Alexandria City Public Schools,6,1212
2018 - 2019,DIV,Alexandria City Public Schools,7,1098
2018 - 2019,DIV,Alexandria City Public Schools,8,978
2018 - 2019,DIV,Alexandria City Public Schools,9,1160
2018 - 2019,DIV,Alexandria City Public Schools,10,1034
2018 - 2019,DIV,Alexandria City Public Schools,11,891
2018 - 2019,DIV,Alexandria City Public Schools,12,902
2018 - 2019,DIV,Alleghany County Public Schools,,2084
2018 - 2019,DIV,Alleghany County Public Schools,PK,84
2018 - 2019,DIV,Alleghany County Public Schools,KG,178
2018 - 2019,DIV,Alleghany County Public Schools,1,135
2018 - 2019,DIV,Alleghany County Public Schools,2,128
